ticker,year,return_annual_pct,group
ACN,2019,51.6653,legacy
ACN,2020,26.2923,legacy
ACN,2021,63.6411,legacy
ACN,2022,-33.5772,legacy
ACN,2023,31.9045,legacy
ACN,2024,3.0339,legacy
ACN,2025,-21.9854,legacy
ACN,2026,-34.506,legacy
ADBE,2019,46.8629,platform
ADBE,2020,49.544,platform
ADBE,2021,16.8377,platform
ADBE,2022,-40.3707,platform
ADBE,2023,77.0747,platform
ADBE,2024,-23.3403,platform
ADBE,2025,-20.6372,platform
ADBE,2026,-25.7126,platform
AI,2020,50.0162,ai_native
AI,2021,-73.9605,ai_native
AI,2022,-65.356,ai_native
AI,2023,159.3496,ai_native
AI,2024,19.7982,ai_native
AI,2025,-61.1191,ai_native
AI,2026,-37.0909,ai_native
AIOT,2019,11.6638,ai_native
AIOT,2020,14.1321,ai_native
AIOT,2021,-38.4416,ai_native
AIOT,2022,-46.3074,ai_native
AIOT,2023,30.038,ai_native
AIOT,2024,103.0488,ai_native
AIOT,2025,-15.5556,ai_native
AIOT,2026,-38.4762,ai_native
AMD,2019,143.5475,infra
AMD,2020,86.7821,infra
AMD,2021,55.9046,infra
AMD,2022,-56.889,infra
AMD,2023,130.2562,infra
AMD,2024,-12.8374,infra
AMD,2025,77.5346,infra
AMD,2026,89.7794,infra
ANET,2019,-3.3959,infra
ANET,2020,41.9353,infra
ANET,2021,103.0654,infra
ANET,2022,-14.6864,infra
ANET,2023,94.7812,infra
ANET,2024,90.9311,infra
ANET,2025,17.2108,infra
ANET,2026,6.265,infra
AVGO,2019,29.4436,infra
AVGO,2020,42.0174,infra
AVGO,2021,61.1329,infra
AVGO,2022,-12.9964,infra
AVGO,2023,106.2686,infra
AVGO,2024,116.4797,infra
AVGO,2025,50.5421,infra
AVGO,2026,22.5712,infra
BBAI,2021,-42.4212,ai_native
BBAI,2022,-88.4983,ai_native
BBAI,2023,193.1507,ai_native
BBAI,2024,122.5,ai_native
BBAI,2025,31.3869,ai_native
BBAI,2026,-30.137,ai_native
BILL,2019,7.1831,saas
BILL,2020,252.7132,saas
BILL,2021,81.2527,saas
BILL,2022,-53.3442,saas
BILL,2023,-25.3249,saas
BILL,2024,9.6853,saas
BILL,2025,-35.1101,saas
BILL,2026,-20.7476,saas
BOX,2019,-8.7051,saas
BOX,2020,4.6984,saas
BOX,2021,47.0522,saas
BOX,2022,17.9167,saas
BOX,2023,-18.205,saas
BOX,2024,22.4332,saas
BOX,2025,-4.5629,saas
BOX,2026,-14.4294,saas
BRZE,2021,-17.3787,saas
BRZE,2022,-62.5378,saas
BRZE,2023,106.25,saas
BRZE,2024,-16.7892,saas
BRZE,2025,-20.9726,saas
BRZE,2026,-35.8833,saas
BSY,2020,21.0703,legacy
BSY,2021,19.0732,legacy
BSY,2022,-23.6226,legacy
BSY,2023,42.6685,legacy
BSY,2024,-4.9286,legacy
BSY,2025,-17.4232,legacy
BSY,2026,-15.7905,legacy
CDNS,2019,60.4441,legacy
CDNS,2020,90.9714,legacy
CDNS,2021,37.2643,legacy
CDNS,2022,-12.2953,legacy
CDNS,2023,70.6151,legacy
CDNS,2024,14.2868,legacy
CDNS,2025,5.0124,legacy
CDNS,2026,11.8686,legacy
CIBR,2019,29.793,benchmarks
CIBR,2020,48.445,benchmarks
CIBR,2021,21.9844,benchmarks
CIBR,2022,-25.4402,benchmarks
CIBR,2023,40.5097,benchmarks
